"删维组别","样例编号","是否还能唯一归类","候选场景集合"
"去掉资源所处状态后的判定结果","EX088","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX088","否","S1|S2"
"去掉触发位置边界后的判定结果","EX089","是","S2"
"去掉资源所处状态后的判定结果","EX089","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX089","否","S1|S2"
"去掉触发位置边界后的判定结果","EX090","是","S2"
"去掉资源所处状态后的判定结果","EX090","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX090","否","S1|S2"
"去掉触发位置边界后的判定结果","EX091","是","S2"
"去掉资源所处状态后的判定结果","EX091","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX091","否","S1|S2"
"去掉触发位置边界后的判定结果","EX092","是","S2"
"去掉资源所处状态后的判定结果","EX092","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX092","否","S1|S2"
"去掉触发位置边界后的判定结果","EX093","是","S3"
"去掉资源所处状态后的判定结果","EX093","是","S3"
"去掉隔离跨越度后的判定结果","EX093","否","S2|S3"
"去掉触发位置边界后的判定结果","EX094","否","S1|S2"
"去掉资源所处状态后的判定结果","EX094","是","S1"
"去掉隔离跨越度后的判定结果","EX094","是","S1"
"去掉触发位置边界后的判定结果","EX095","否","S1|S2"
"去掉资源所处状态后的判定结果","EX095","是","S1"
"去掉隔离跨越度后的判定结果","EX095","是","S1"
"去掉触发位置边界后的判定结果","EX096","否","S1|S2"
"去掉资源所处状态后的判定结果","EX096","是","S1"
"去掉隔离跨越度后的判定结果","EX096","是","S1"
"去掉触发位置边界后的判定结果","EX097","是","S2"
"去掉资源所处状态后的判定结果","EX097","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX097","否","S1|S2"
"去掉触发位置边界后的判定结果","EX098","是","S2"
"去掉资源所处状态后的判定结果","EX098","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX098","否","S1|S2"
"去掉触发位置边界后的判定结果","EX099","是","S2"
"去掉资源所处状态后的判定结果","EX099","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX099","否","S1|S2"
"去掉触发位置边界后的判定结果","EX100","否","S2|S4"
"去掉资源所处状态后的判定结果","EX100","是","S4"
"去掉隔离跨越度后的判定结果","EX100","否","S2|S4"
